ក	kɑɑ
ខ	kʰɑɑ
គ	kɔɔ
ឃ	kʰɔɔ
ង	ŋɔɔ
ច	cɑɑ
ឆ	cʰɑɑ
ជ	cɔɔ
ឈ	cʰɔɔ
ញ	ɲɔɔ
ដ	ɗɑɑ
ឋ	tʰɑɑ
ឌ	ɗɔɔ
ឍ	tʰɔɔ
ណ	nɑɑ
ត	tɑɑ
ថ	tʰɑɑ
ទ	tɔɔ
ធ	tʰɔɔ
ន	nɔɔ
ប	ɓɑɑ
ផ	pʰɑɑ
ព	pɔɔ
ភ	pʰɔɔ
ម	mɔɔ
យ	jɔɔ
រ	rɔɔ
ល	lɔɔ
វ	wɔɔ
ស	sɑɑ
ហ	hɑɑ
ឡ	lɑɑ
អ	ʔɑɑ
កក	kɑɑk
កង	kɑɑŋ
កន	kɑɑn
កប	kɑɑp
កម	kɑɑm
កា	kaa
កី	kəj
កើ	kaə
កែ	kae
កៃ	kaj
ខក	kʰɑɑk
ខន	kʰɑɑn
ខម	kʰɑɑm
ខួ	kʰuə
ខេ	kʰee
ខែ	kʰae
ខៃ	kʰaj
ខោ	kʰao
ខំ	kʰɑm
ខះ	kʰah
គក	kɔɔk
គង	kɔɔŋ
គន	kɔɔn
គម	kɔɔm
គយ	kɔɔj
គរ	kɔɔ
គី	kii
គឺ	kɨɨ
គូ	kuu
គែ	kɛɛ
គៃ	kej
គំ	kum
ងរ	ŋɔɔ
ងា	ŋie
ងឺ	ŋɨɨ
ងឿ	ŋɨə
ងៅ	ŋɨw
ងំ	ŋum
ចក	cɑɑk
ចង	cɑɑŋ
ចត	cɑɑt
ចប	cɑɑp
ចម	cɑɑm
ចែ	cae
ចៃ	caj
ចៅ	caw
ចំ	cɑm
ឆក	cʰɑɑk
ឆត	cʰɑɑt
ឆប	cʰɑɑp
ឆរ	cʰɑɑ
ឆា	cʰaa
ឆី	cʰəj
ឆែ	cʰae
ឆៅ	cʰaw
ជង	cɔɔŋ
ជត	cɔɔt
ជន	cɔɔn
ជម	cɔɔm
ជរ	cɔɔ
ជា	cie
ជី	cii
ជួ	cuə
ជើ	cəə
ជឿ	cɨə
ជៅ	cɨw
ជំ	cum
ជះ	ceah
ឈប	cʰɔɔp
ឈម	cʰɔɔm
ឈរ	cʰɔɔ
ឈឺ	cʰɨɨ
ឈូ	cʰuu
ឈើ	cʰəə
ញក	ɲɔɔk
ញន	ɲɔɔn
ញប	ɲɔɔp
ញយ	ɲɔɔj
ញី	ɲii
ញំ	ɲum
ដក	ɗɑɑk
ដង	ɗɑɑŋ
ដប	ɗɑɑp
ដម	ɗɑɑm
ដរ	ɗɑɑ
ដា	ɗaa
ដី	ɗəj
ដៃ	ɗaj
ដៅ	ɗaw
ដំ	ɗɑm
ឌឺ	ɗɨɨ
ណា	naa
ណែ	nae
តង	tɑɑŋ
តប	tɑɑp
តម	tɑɑm
តយ	tɑɑj
តា	taa
តុ	toʔ
តួ	tuə
តើ	taə
តឿ	tɨə
តែ	tae
តោ	tao
តៅ	taw
តះ	tah
ថង	tʰɑɑŋ
ថត	tʰɑɑt
ថយ	tʰɑɑj
ថា	tʰaa
ថូ	tʰoo
ថួ	tʰuə
ថែ	tʰae
ថៃ	tʰaj
ថោ	tʰao
ទក	tɔɔk
ទង	tɔɔŋ
ទត	tɔɔt
ទម	tɔɔm
ទយ	tɔɔj
ទរ	tɔɔ
ទា	tie
ទី	tii
ទូ	tuu
ទួ	tuə
ទេ	tee
ទៃ	tej
ទៅ	tɨw
ទំ	tum
ទះ	teah
ធឺ	tʰɨɨ
ធួ	tʰuə
ធំ	tʰum
នក	nɔɔk
នប	nɔɔp
នា	nie
នី	nii
នែ	nɛɛ
នៃ	nej
នៅ	nɨw
នំ	num
បក	ɓɑɑk
បង	ɓɑɑŋ
បន	ɓɑɑn
បម	ɓɑɑm
បរ	ɓɑɑ
បី	ɓəj
បូ	ɓoo
បួ	ɓuə
បើ	ɓaə
បៀ	ɓiə
បៅ	ɓaw
បះ	ɓah
ប៉	pɑɑ
ប៊	ɓɔɔ
ផង	pʰɑɑŋ
ផត	pʰɑɑt
ផស	pʰɑɑh
ផែ	pʰae
ផៅ	pʰaw
ពក	pɔɔk
ពង	pɔɔŋ
ពន	pɔɔn
ពម	pɔɔm
ពយ	pɔɔj
ពី	pii
ពូ	puu
ពើ	pəə
ពែ	pɛɛ
ពៃ	pej
ពោ	poo
ពៅ	pɨw
ពះ	peah
ភយ	pʰɔɔj
ភរ	pʰɔɔ
ភី	pʰii
ភូ	pʰuu
ភើ	pʰəə
ភេ	pʰee
មក	mɔɔk
មង	mɔɔŋ
មន	mɔɔn
មរ	mɔɔ
មា	mie
មី	mii
មួ	muə
មើ	məə
មេ	mee
មែ	mɛɛ
មៃ	mej
